"filename", "language", "Python", "HTML", "Markdown", "pip requirements", "PostCSS", "comment", "blank", "total"
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/README.md", "Markdown", 0, 0, 202, 0, 0, 0, 64, 266
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/clients/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/clients/movie_api_client.py", "Python", 24, 0, 0, 0, 0, 2, 9, 35
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/database/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/database/database.py", "Python", 24, 0, 0, 0, 0, 0, 5, 29
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/main.py", "Python", 134, 0, 0, 0, 0, 0, 20, 154
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/models/movie.py", "Python", 11, 0, 0, 0, 0, 0, 1, 12
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/repositories/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/repositories/movies_repository.py", "Python", 70, 0, 0, 0, 0, 0, 15, 85
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/requirements.txt", "pip requirements", 0, 0, 0, 2, 0, 0, 2, 4
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/services/movie_services.py", "Python", 62, 0, 0, 0, 0, 0, 13, 75
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/static/styles.css", "PostCSS", 0, 0, 0, 0, 52, 0, 10, 62
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/templates/index.html", "HTML", 0, 50, 0, 0, 0, 0, 8, 58
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/templates/search_result.html", "HTML", 0, 53, 0, 0, 0, 0, 11, 64
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/tests/conftest.py", "Python", 30, 0, 0, 0, 0, 12, 16, 58
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/tests/test_movie_api_client.py", "Python", 40, 0, 0, 0, 0, 0, 19, 59
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/tests/test_movie_services.py", "Python", 227, 0, 0, 0, 0, 0, 67, 294
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/tests/test_movies_repository.py", "Python", 119, 0, 0, 0, 0, 4, 27, 150
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/utils/exhibition.py", "Python", 28, 0, 0, 0, 0, 0, 7, 35
"/home/dsaity/Área de trabalho/Dev/VS/Estudo/meu-portifolio/Projetos/movie-manager-python/web_app.py", "Python", 65, 0, 0, 0, 0, 0, 19, 84
"Total", "-", 834, 103, 202, 2, 52, 18, 319, 1530
